,text,favourite_count,retweet_count,created_at,handle
143,"Today on Pivot @karaswisher and @profgalloway talk about @IBM's new CEO, Zuckerberg's new approach to social media, and breakdown @Amazon's major earnings. Friend of Pivot @jonlovett says we should be prepared for the Trump campaign's major ad push. https://t.co/1oRh6s766z https://t.co/XaAjzRn2iI",6,0,2020-02-04 19:38:12+00:00,@recode
144,Amazon now has more than 150 million Prime members across the world https://t.co/LAQrC1BQYj,3,1,2020-01-30 22:16:55+00:00,@recode
145,Hundreds of Amazon employees plan to risk their jobs this week by violating company policy https://t.co/LQP53u33kj,16,7,2020-01-26 22:43:37+00:00,@recode
146,The dark underbelly of Amazon Prime Video https://t.co/mKDVuwGlhX,6,1,2020-01-24 21:42:16+00:00,@recode
147,Amazon Ring sales nearly tripled in December despite hacks https://t.co/EMoH2j4Hdb,4,2,2020-01-21 18:59:57+00:00,@recode
148,Amazon s Ring blamed hacks on consumers reusing their passwords. A lawsuit say that s not true. https://t.co/I56yDOcS5t,8,4,2020-01-17 18:41:53+00:00,@recode
149,How Amazon s Ring is creating a surveillance network with video doorbells https://t.co/NcjA4Jn9WI,8,5,2020-01-10 21:06:13+00:00,@recode
150,A  new  Amazon waffle maker came with an old crusty-looking waffle already in it https://t.co/ytV61Qs0j7,17,3,2020-01-03 19:23:26+00:00,@recode
151,Google and Amazon are now in the oil business https://t.co/ukwpTqXIiq,27,16,2020-01-03 13:35:47+00:00,@recode
152,Amazon threatened to fire employees who spoke out against its environmental policies https://t.co/flkvMWM2rO,6,10,2020-01-02 23:47:02+00:00,@recode
153,All those hacks got Amazon s Ring sued https://t.co/CMlCLcaNaO,7,2,2019-12-28 00:13:51+00:00,@recode
154,Amazon wants to patent technology that could identify shoppers by their hands https://t.co/uyOG1Bcs0W,8,4,2019-12-26 20:56:27+00:00,@recode
155,One of Amazon s first employees says the company should be broken up https://t.co/hTNUFyuQIW,20,9,2019-12-21 00:48:04+00:00,@recode
156,Simple changes to Amazon s Ring could protect users from hacks https://t.co/HzEQRTXfvo,3,1,2019-12-20 21:14:40+00:00,@recode
157,Amazon s new area of domination: its own package delivery https://t.co/umZ560RsCp,5,3,2019-12-20 00:04:41+00:00,@recode
158,"Amazon, Apple, and Google are working together so that your  smart  home works better https://t.co/MapS13HDuK",9,3,2019-12-18 20:33:46+00:00,@recode
159,"The pros and cons of Amazon s warehouse automation: 

- Warehouses robots have eliminated the need for workers to walk 10 to 20 miles a day
- The rate of worker injuries at robotic warehouses is higher than at facilities without robots https://t.co/E7l2HhAcFd https://t.co/8En3f7xt85",13,1,2019-12-11 13:35:03+00:00,@recode
160,Amazon warehouse workers say they re doing  back-breaking  work without paid time off https://t.co/v23QsrfPRp,4,6,2019-12-10 19:29:25+00:00,@recode
161,Jeff Bezos finally added two more women to Amazon s senior leadership team   joining 19 men https://t.co/dek9uq2lIk,17,7,2019-12-06 03:12:02+00:00,@recode
162,Amazon Prime one-day shipping apparently doesn t mean one-day delivery https://t.co/io9Wj0Cxuv,5,4,2019-12-06 00:36:12+00:00,@recode
163,"As of the beginning of December, Amazon's Ring has partnered with 677 police departments in the US (up from 400 in August) and it s continuing to expand.  

https://t.co/zhmDKBEIcl",4,4,2019-12-04 19:13:19+00:00,@recode
164,The best Cyber Monday deals according to Alexa: any Amazon-owned brand https://t.co/LDcNc9sT5f,5,0,2019-12-03 18:21:08+00:00,@recode
165,How Amazon s Ring is creating a surveillance network with video doorbells https://t.co/HLZLUAcoZA,12,12,2019-12-03 16:41:13+00:00,@recode
166,"To keep up with Amazon s strict packing requirements, third-party sellers use prepping centers to rebox products.

In rural Roundup, Montana   population 1,863   a small cottage industry of prepping centers has popped up. And it s run entirely by women. https://t.co/TYJ13X3urn",89,48,2019-11-24 19:58:00+00:00,@recode
167,Your Amazon package has a wild journey before it gets to your door https://t.co/ybgknAqlU7,9,3,2019-11-24 16:18:26+00:00,@recode
168,Amazon lost a $10 billion Pentagon contract to Microsoft. Now it s blaming President Trump directly. https://t.co/2ZIB3qN0N9,15,5,2019-11-23 16:53:53+00:00,@recode
169,Nike s breakup with Amazon is a lose-lose situation for everyone   including you  https://t.co/yXWJZ2UaZT,4,1,2019-11-15 00:31:41+00:00,@recode
170,The Seattle politician Amazon tried to oust has declared victory https://t.co/Q1QxFlMoZa,16,7,2019-11-11 21:56:44+00:00,@recode
171,Amazon tried to buy a new Seattle City Council. It doesn t look like it worked. https://t.co/BAcMkk9jvK,7,7,2019-11-06 23:01:08+00:00,@recode
172,Amazon s top spokesperson walks back controversial comments for the second time in a month https://t.co/nFUi5OdFix,1,0,2019-10-31 14:47:34+00:00,@recode
173,Amazon s top spokesman walks back controversial comments for the second time in a month https://t.co/A21MjfhqKh,1,1,2019-10-31 14:42:31+00:00,@recode
174,Amazon s new plan to dominate grocery delivery: making Amazon Fresh totally free for Prime members https://t.co/Usnpz1W0Ed,31,21,2019-10-29 10:47:11+00:00,@recode
175,Jeff Bezos has a new venue for fighting critics: Amazon s financial reports https://t.co/W1tVtRt26J,6,0,2019-10-25 16:01:44+00:00,@recode
176,"Amazon s tiny profits, explained https://t.co/Qdc0pWvbaS",10,5,2019-10-24 21:17:36+00:00,@recode
177,"Elizabeth Warren is crushing Joe Biden in donations from employees at Big Tech companies   despite her pledge to break many of them up. 

Warren collected about $150,000 from employees of Facebook, Apple, Amazon, and Google between July and September. 
https://t.co/ozibts4B0t https://t.co/1lKgYgZ5f7",6,5,2019-10-18 22:00:07+00:00,@recode
178,"The problem with Amazon s speedy shipping, in one graphic https://t.co/LxLeQSUKaP",18,14,2019-10-18 19:50:12+00:00,@recode
179,Amazon s 1-day shipping is convenient   and terrible for the environment https://t.co/fbnad1ryHq,6,5,2019-10-16 17:55:15+00:00,@recode
